127.0.0.1 - - [18/Aug/2026 22:15:13] "GET /edit-martyr.html HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:14] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:14] "GET /css/tailwind-compat.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /css/desktop-pages.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /js/i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /images/facebook.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /images/donation.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /images/instagram.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /images/x.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:15] "GET /images/edit.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /images/share.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /js/mobile-drawer.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /js/data-loader.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /js/backend-api.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /js/audit.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:16] "GET /data/languages/en.json HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:17] "GET /martyr.html?id=islam-quneita-396 HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:17] "GET /favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:17] "GET /js/martyr-profile.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:17] "GET /js/cards.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:17] "GET /data/journalists.json HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:15:17] "GET /storage/DK3YayrIPAkzasfGSuEgrSD7J0zJjZnZDKZ9iand.jpg HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:16] "GET /martyr.html?id=islam-quneita-396 HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:16] "GET /css/tailwind-compat.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:16] "GET /css/bootstrap.min.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /css/desktop-pages.css HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /favicon.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /images/donation.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /images/facebook.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /images/instagram.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /images/x.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /images/edit.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /images/share.png HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/i18n.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/mobile-drawer.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/data-loader.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/utils.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/martyr-profile.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/cards.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/backend-api.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /js/audit.js HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /data/languages/en.json HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /data/journalists.json HTTP/1.1" 200 -
127.0.0.1 - - [18/Aug/2026 22:17:17] "GET /storage/DK3YayrIPAkzasfGSuEgrSD7J0zJjZnZDKZ9iand.jpg HTTP/1.1" 200 -
